Drug	pt	no_cases	total	prr
amitryptiline	Administration site reaction	2	18	0.1111111111
amitryptiline	Administration site swelling	10	36	0.2777777778
amitryptiline	Administration site ulcer	1	1	1
amitryptiline	Adnexa uteri cyst	1	7	0.1428571429
amitryptiline	Adnexa uteri pain	4	43	0.09302325581
amitryptiline	Adrenal adenoma	4	64	0.0625
amitryptiline	Adrenal cyst	2	30	0.06666666667
amitryptiline	Adrenal disorder	2	96	0.02083333333
amitryptiline	Adrenal gland cancer	1	20	0.05
amitryptiline	Adrenal gland injury	4	4	1
amitryptiline	Adrenal haemorrhage	8	23	0.347826087
amitryptiline	Adrenal insufficiency	72	777	0.09266409266
amitryptiline	Adrenal mass	5	44	0.1136363636
amitryptiline	Adrenal neoplasm	10	36	0.2777777778
amitryptiline	Adrenal suppression	1	12	0.08333333333
amitryptiline	Adrenocortical insufficiency acute	3	46	0.0652173913
amitryptiline	Adverse drug reaction	259	4524	0.05725022104
amitryptiline	Adverse event	244	3941	0.06191321999
amitryptiline	Adverse food reaction	2	29	0.06896551724
amitryptiline	Adverse reaction	34	533	0.06378986867
amitryptiline	Aeromonas infection	5	18	0.2777777778
amitryptiline	Affective disorder	103	1853	0.05558553697
amitryptiline	Affect lability	82	6072	0.01350461133
amitryptiline	Age-related macular degeneration	45	169	0.2662721893
amitryptiline	Ageusia	63	1179	0.0534351145
amitryptiline	Aggression	232	6601	0.03514618997
amitryptiline	Agitated depression	2	88	0.02272727273
amitryptiline	Agitation	565	12595	0.04485907106
amitryptiline	Agitation neonatal	42	459	0.09150326797
amitryptiline	Agoraphobia	19	375	0.05066666667
amitryptiline	Agranulocytosis	68	1009	0.06739345887
amitryptiline	Agraphia	3	30	0.1
amitryptiline	AIDS related complex	1	13	0.07692307692
amitryptiline	Air embolism	1	14	0.07142857143
amitryptiline	Akathisia	97	3096	0.03133074935
amitryptiline	Akinesia	15	318	0.04716981132
amitryptiline	Alanine aminotransferase	1	4	0.25
amitryptiline	Alanine aminotransferase abnormal	31	300	0.1033333333
amitryptiline	Alanine aminotransferase decreased	1	74	0.01351351351
amitryptiline	Alanine aminotransferase increased	236	2960	0.07972972973
amitryptiline	Albumin globulin ratio abnormal	3	3	1
amitryptiline	Albumin globulin ratio decreased	1	17	0.05882352941
amitryptiline	Albuminuria	2	31	0.06451612903
amitryptiline	Albumin urine present	14	27	0.5185185185
amitryptiline	Alcohol abuse	17	504	0.03373015873
amitryptiline	Alcohol interaction	5	408	0.01225490196
amitryptiline	Alcoholism	16	560	0.02857142857
amitryptiline	Alcohol poisoning	39	347	0.1123919308
amitryptiline	Alcohol problem	1	24	0.04166666667
amitryptiline	Alcohol test positive	1	8	0.125
amitryptiline	Alcohol use	15	257	0.05836575875
amitryptiline	Alcohol withdrawal syndrome	1	112	0.008928571429
amitryptiline	Alkalosis hypochloraemic	1	21	0.04761904762
amitryptiline	Allergic cough	4	65	0.06153846154
amitryptiline	Allergic oedema	8	78	0.1025641026
amitryptiline	Allergic pharyngitis	2	7	0.2857142857
amitryptiline	Allergic reaction to excipient	6	101	0.05940594059
amitryptiline	Allergic sinusitis	4	43	0.09302325581
amitryptiline	Allergy test positive	3	13	0.2307692308
amitryptiline	Allergy to animal	5	121	0.04132231405
amitryptiline	Allergy to arthropod bite	6	14	0.4285714286
amitryptiline	Allergy to arthropod sting	5	30	0.1666666667
amitryptiline	Allergy to chemicals	7	50	0.14
amitryptiline	Allergy to immunoglobulin therapy	1	9	0.1111111111
amitryptiline	Allergy to metals	6	35	0.1714285714
amitryptiline	Allergy to vaccine	1	15	0.06666666667
amitryptiline	Allodynia	82	266	0.3082706767
amitryptiline	Alloimmunisation	1	5	0.2
amitryptiline	Alopecia	932	13201	0.07060071207
amitryptiline	Alopecia areata	3	103	0.02912621359
amitryptiline	Alopecia totalis	1	10	0.1
amitryptiline	Alopecia universalis	1	4	0.25
amitryptiline	Alpha haemolytic streptococcal infection	2	14	0.1428571429
amitryptiline	Altered state of consciousness	131	2218	0.05906221821
amitryptiline	Altered visual depth perception	6	80	0.075
amitryptiline	Alveolitis	4	41	0.09756097561
amitryptiline	Alveolitis allergic	9	60	0.15
amitryptiline	Alveoloplasty	1	3	0.3333333333
amitryptiline	Amaurosis fugax	6	53	0.1132075472
amitryptiline	Amenorrhoea	10	610	0.01639344262
amitryptiline	American trypanosomiasis	1	2	0.5
amitryptiline	Amino acid level decreased	4	42	0.09523809524
amitryptiline	Amino acid level increased	26	66	0.3939393939
amitryptiline	Ammonia abnormal	2	25	0.08
amitryptiline	Ammonia increased	13	214	0.06074766355
amitryptiline	Amnesia	398	5868	0.06782549421
amitryptiline	Amnestic disorder	3	50	0.06
amitryptiline	Amniorrhoea	2	7	0.2857142857
amitryptiline	Amniotic fluid volume increased	4	32	0.125
amitryptiline	Amoeba test positive	1	1	1
amitryptiline	Amoebiasis	2	7	0.2857142857
amitryptiline	Amphetamines negative	1	3	0.3333333333
amitryptiline	Amphetamines positive	3	128	0.0234375
amitryptiline	Amplified musculoskeletal pain syndrome	1	1	1
amitryptiline	Amputation	4	23	0.1739130435
amitryptiline	Amputation stump pain	2	10	0.2
amitryptiline	Amylase increased	13	227	0.05726872247
amitryptiline	Amyloidosis	1	68	0.01470588235
amitryptiline	Amyloid related imaging abnormality-oedema/effusion	1	52	0.01923076923
amitryptiline	Amyotrophic lateral sclerosis	11	113	0.09734513274
amitryptiline	Amyotrophy	67	186	0.3602150538
amitryptiline	Anaemia	763	8359	0.09127886111
amitryptiline	Anaemia folate deficiency	2	14	0.1428571429
amitryptiline	Anaemia macrocytic	5	86	0.05813953488
amitryptiline	Anaemia megaloblastic	6	8	0.75
amitryptiline	Anaemia of chronic disease	6	47	0.1276595745
amitryptiline	Anaemia of malignant disease	23	42	0.5476190476
amitryptiline	Anaemia postoperative	2	22	0.09090909091
amitryptiline	Anaemia vitamin B12 deficiency	1	17	0.05882352941
amitryptiline	Anaesthesia	1	22	0.04545454545
amitryptiline	Anaesthetic complication	8	79	0.1012658228
amitryptiline	Anaesthetic complication neurological	5	11	0.4545454545
amitryptiline	Anal abscess	18	169	0.1065088757
amitryptiline	Anal fissure	25	269	0.09293680297
amitryptiline	Anal fissure haemorrhage	11	31	0.3548387097
amitryptiline	Anal fistula	9	136	0.06617647059
amitryptiline	Anal fungal infection	1	2	0.5
amitryptiline	Analgesic drug level above therapeutic	1	261	0.003831417625
amitryptiline	Analgesic drug level increased	2	93	0.02150537634
amitryptiline	Analgesic therapy	3	5	0.6
amitryptiline	Anal haemorrhage	15	108	0.1388888889
amitryptiline	Anal incontinence	62	770	0.08051948052
amitryptiline	Anal infection	1	8	0.125
amitryptiline	Anal paraesthesia	1	1	1
amitryptiline	Anal pruritus	3	45	0.06666666667
amitryptiline	Anal skin tags	2	15	0.1333333333
amitryptiline	Anal squamous cell carcinoma	9	29	0.3103448276
amitryptiline	Anal stenosis	4	33	0.1212121212
amitryptiline	Anal ulcer haemorrhage	1	2	0.5
amitryptiline	Anaphylactic reaction	406	2181	0.1861531408
amitryptiline	Anaphylactic shock	94	664	0.1415662651
amitryptiline	Anaphylactoid reaction	4	46	0.08695652174
amitryptiline	Anaplastic astrocytoma	1	5	0.2
amitryptiline	Anaplastic large-cell lymphoma	1	4	0.25
amitryptiline	Anastomotic complication	2	6	0.3333333333
amitryptiline	Anastomotic haemorrhage	1	2	0.5
amitryptiline	Anastomotic ulcer	1	12	0.08333333333
amitryptiline	Androgen deficiency	1	33	0.0303030303
amitryptiline	Aneurysm	18	234	0.07692307692
amitryptiline	Aneurysm repair	1	4	0.25
amitryptiline	Aneurysm ruptured	3	34	0.08823529412
amitryptiline	Anger	79	3376	0.02340047393
amitryptiline	Angina bullosa haemorrhagica	4	33	0.1212121212
amitryptiline	Angina pectoris	151	1254	0.120414673
amitryptiline	Angina unstable	15	135	0.1111111111
amitryptiline	Angiocardiogram	1	1	1
amitryptiline	Angiodermatitis	1	5	0.2
amitryptiline	Angiodysplasia	1	9	0.1111111111
amitryptiline	Angioedema	143	1702	0.08401880141
amitryptiline	Angiogram	2	8	0.25
amitryptiline	Angiolipoma	4	15	0.2666666667
amitryptiline	Angiopathy	8	148	0.05405405405
amitryptiline	Angle closure glaucoma	15	263	0.05703422053
amitryptiline	Angular cheilitis	5	45	0.1111111111
amitryptiline	Anhedonia	194	2717	0.07140228193
amitryptiline	Anhidrosis	4	15	0.2666666667
amitryptiline	Animal bite	14	208	0.06730769231
amitryptiline	Animal scratch	5	89	0.05617977528
amitryptiline	Anion gap	6	7	0.8571428571
amitryptiline	Anion gap abnormal	3	5	0.6
amitryptiline	Anion gap decreased	1	16	0.0625
amitryptiline	Anion gap increased	2	66	0.0303030303
amitryptiline	Anisocoria	1	15	0.06666666667
amitryptiline	Ankle arthroplasty	2	24	0.08333333333
amitryptiline	Ankle deformity	4	7	0.5714285714
amitryptiline	Ankle fracture	143	1678	0.0852205006
amitryptiline	Ankle operation	5	180	0.02777777778
amitryptiline	Ankyloglossia congenital	1	55	0.01818181818
amitryptiline	Ankylosing spondylitis	129	875	0.1474285714
amitryptiline	Anogenital dysplasia	1	10	0.1
amitryptiline	Anogenital warts	20	88	0.2272727273
amitryptiline	Anomaly of external ear congenital	3	30	0.1
amitryptiline	Anophthalmos	3	5	0.6
amitryptiline	Anorectal discomfort	4	74	0.05405405405
amitryptiline	Anorectal disorder	7	58	0.1206896552
amitryptiline	Anorectal infection	2	17	0.1176470588
amitryptiline	Anorexia nervosa	2	55	0.03636363636
amitryptiline	Anorgasmia	14	881	0.01589103292
amitryptiline	Anosmia	15	207	0.07246376812
amitryptiline	Anovulatory cycle	1	37	0.02702702703
amitryptiline	Anterograde amnesia	12	82	0.1463414634
amitryptiline	Antibiotic level above therapeutic	1	13	0.07692307692
amitryptiline	Antibiotic therapy	6	60	0.1
amitryptiline	Antibody test abnormal	9	40	0.225
amitryptiline	Antibody test positive	1	26	0.03846153846
amitryptiline	Anticholinergic syndrome	169	674	0.2507418398
amitryptiline	Anticoagulant therapy	1	7	0.1428571429
amitryptiline	Anticoagulation drug level abnormal	1	2	0.5
amitryptiline	Anticoagulation drug level above therapeutic	1	69	0.01449275362
amitryptiline	Anticoagulation drug level below therapeutic	1	19	0.05263157895
amitryptiline	Anticonvulsant drug level above therapeutic	8	49	0.1632653061
amitryptiline	Anticonvulsant drug level decreased	7	24	0.2916666667
amitryptiline	Anticonvulsant drug level increased	2	32	0.0625
amitryptiline	Anti-cyclic citrullinated peptide antibody positive	1	111	0.009009009009
amitryptiline	Antidepressant drug clearance decreased	3	13	0.2307692308
amitryptiline	Antidepressant drug level above therapeutic	4	93	0.04301075269
amitryptiline	Antidepressant drug level increased	4	110	0.03636363636
amitryptiline	Antidiuretic hormone abnormality	2	12	0.1666666667
amitryptiline	Anti-erythropoietin antibody positive	2	3	0.6666666667
amitryptiline	Anti-neutrophil cytoplasmic antibody positive vasculitis	4	71	0.05633802817
amitryptiline	Antinuclear antibody increased	2	51	0.03921568627
amitryptiline	Antinuclear antibody positive	37	131	0.2824427481
amitryptiline	Antiphospholipid syndrome	4	73	0.05479452055
amitryptiline	Antipsychotic drug level above therapeutic	4	247	0.01619433198
amitryptiline	Antipsychotic drug level below therapeutic	4	81	0.04938271605
amitryptiline	Antipsychotic drug level increased	4	446	0.008968609865
amitryptiline	Antisocial behaviour	2	124	0.01612903226
amitryptiline	Anti-thyroid antibody increased	1	2	0.5
amitryptiline	Anti-thyroid antibody positive	2	35	0.05714285714
amitryptiline	Antiviral drug level above therapeutic	1	3	0.3333333333
amitryptiline	Anuria	11	182	0.06043956044
amitryptiline	Anxiety	1425	30085	0.04736579691
amitryptiline	Anxiety disorder	14	595	0.02352941176
amitryptiline	Aorta hypoplasia	4	104	0.03846153846
amitryptiline	Aortic aneurysm	14	315	0.04444444444
amitryptiline	Aortic aneurysm repair	1	2	0.5
amitryptiline	Aortic arteriosclerosis	16	136	0.1176470588
amitryptiline	Aortic bypass	2	5	0.4
amitryptiline	Aortic calcification	2	9	0.2222222222
amitryptiline	Aortic dilatation	1	59	0.01694915254
amitryptiline	Aortic disorder	2	27	0.07407407407
amitryptiline	Aortic dissection	5	77	0.06493506494
amitryptiline	Aorticopulmonary septal defect	2	3	0.6666666667
amitryptiline	Aortic stenosis	1	131	0.007633587786
amitryptiline	Aortic thrombosis	2	30	0.06666666667
amitryptiline	Aortic valve disease	11	69	0.1594202899
amitryptiline	Aortic valve incompetence	11	223	0.04932735426
amitryptiline	Aortic valve replacement	3	40	0.075
amitryptiline	Aortic valve sclerosis	2	32	0.0625
amitryptiline	Aortic valve stenosis	4	109	0.03669724771
amitryptiline	Aortitis	3	12	0.25
amitryptiline	Apallic syndrome	1	141	0.007092198582
amitryptiline	Apathy	27	1606	0.01681195517
amitryptiline	Apgar score low	4	167	0.02395209581
amitryptiline	Aphagia	2	37	0.05405405405
amitryptiline	Aphasia	172	1874	0.09178228388
amitryptiline	Aphonia	86	696	0.1235632184
amitryptiline	Aphthous stomatitis	3	23	0.1304347826
amitryptiline	Aphthous ulcer	40	481	0.08316008316
amitryptiline	Apicectomy	1	1	1
amitryptiline	Aplasia	7	31	0.2258064516
amitryptiline	Aplasia pure red cell	1	24	0.04166666667
amitryptiline	Aplastic anaemia	41	119	0.3445378151
amitryptiline	Apnoea	21	596	0.03523489933
amitryptiline	Apnoea neonatal	3	38	0.07894736842
amitryptiline	Apnoeic attack	1	43	0.02325581395
amitryptiline	Apparent death	16	219	0.07305936073
amitryptiline	Appendicectomy	11	184	0.0597826087
amitryptiline	Appendicitis	16	340	0.04705882353
amitryptiline	Appendicitis perforated	3	129	0.02325581395
amitryptiline	Appendix disorder	4	47	0.08510638298
amitryptiline	Appetite disorder	27	441	0.0612244898
amitryptiline	Application site bruise	3	20	0.15
amitryptiline	Application site burn	25	186	0.1344086022
amitryptiline	Application site cellulitis	1	1	1
amitryptiline	Application site discharge	4	39	0.1025641026
amitryptiline	Application site discolouration	12	117	0.1025641026
amitryptiline	Application site discomfort	1	24	0.04166666667
amitryptiline	Application site dryness	1	39	0.02564102564
amitryptiline	Application site erosion	2	38	0.05263157895
amitryptiline	Application site erythema	55	492	0.1117886179
amitryptiline	Application site exfoliation	3	23	0.1304347826
amitryptiline	Application site haemorrhage	2	31	0.06451612903
amitryptiline	Application site infection	2	14	0.1428571429
amitryptiline	Application site inflammation	4	11	0.3636363636
amitryptiline	Application site irritation	10	80	0.125
amitryptiline	Application site necrosis	2	2	1
amitryptiline	Application site pain	22	209	0.1052631579
amitryptiline	Application site pallor	1	2	0.5
amitryptiline	Application site papules	1	5	0.2
amitryptiline	Application site pruritus	8	138	0.05797101449
amitryptiline	Application site pustules	6	15	0.4
amitryptiline	Application site rash	4	106	0.03773584906
amitryptiline	Application site reaction	7	36	0.1944444444
amitryptiline	Application site swelling	1	2	0.5
amitryptiline	Application site ulcer	1	7	0.1428571429
amitryptiline	Application site vesicles	5	36	0.1388888889
amitryptiline	Apraxia	3	118	0.02542372881
amitryptiline	Aptyalism	18	95	0.1894736842
amitryptiline	Arachnoid cyst	3	43	0.06976744186
amitryptiline	Areflexia	29	187	0.1550802139
amitryptiline	Arnold-Chiari malformation	1	156	0.00641025641
amitryptiline	Arrested labour	2	38	0.05263157895
amitryptiline	Arrhythmia	194	2306	0.0841283608
amitryptiline	Arrhythmia supraventricular	2	39	0.05128205128
amitryptiline	Arterial disorder	6	48	0.125
amitryptiline	Arterial haemorrhage	4	12	0.3333333333
amitryptiline	Arterial injury	3	37	0.08108108108
amitryptiline	Arterial occlusive disease	16	286	0.05594405594
amitryptiline	Arterial thrombosis	8	58	0.1379310345
amitryptiline	Arteriosclerosis	31	395	0.07848101266
amitryptiline	Arteriosclerosis coronary artery	29	585	0.04957264957
amitryptiline	Arteriospasm coronary	7	91	0.07692307692
amitryptiline	Arteriovenous fistula occlusion	1	3	0.3333333333
amitryptiline	Arteriovenous fistula operation	1	11	0.09090909091
amitryptiline	Arteriovenous fistula site infection	1	3	0.3333333333
amitryptiline	Arteriovenous fistula thrombosis	1	6	0.1666666667
amitryptiline	Arteriovenous malformation	7	54	0.1296296296
amitryptiline	Arthralgia	2195	19575	0.1121328225
amitryptiline	Arthritis	282	3709	0.07603127528
amitryptiline	Arthritis bacterial	15	116	0.1293103448
amitryptiline	Arthritis enteropathic	3	12	0.25
amitryptiline	Arthritis infective	22	186	0.1182795699
amitryptiline	Arthrodesis	4	21	0.1904761905
amitryptiline	Arthropathy	180	2120	0.08490566038
amitryptiline	Arthropod bite	29	341	0.08504398827
amitryptiline	Arthropod sting	5	53	0.09433962264
amitryptiline	Arthroscopy	2	28	0.07142857143
amitryptiline	Artificial crown procedure	1	18	0.05555555556
amitryptiline	Asbestosis	1	6	0.1666666667
amitryptiline	Ascites	43	464	0.09267241379
amitryptiline	Aspartate aminotransferase abnormal	2	6	0.3333333333
amitryptiline	Aspartate aminotransferase decreased	3	21	0.1428571429
amitryptiline	Aspartate aminotransferase increased	42	380	0.1105263158
amitryptiline	Aspergilloma	2	5	0.4
amitryptiline	Aspergillus infection	6	78	0.07692307692
amitryptiline	Asphyxia	34	657	0.05175038052
amitryptiline	Aspiration	119	901	0.1320754717
amitryptiline	AST/ALT ratio abnormal	1	4	0.25
amitryptiline	Asterixis	15	59	0.2542372881
amitryptiline	Asthenia	1133	15885	0.07132514951
amitryptiline	Asthenopia	11	221	0.04977375566
amitryptiline	Asthma	649	6690	0.09701046338
amitryptiline	Asthma-chronic obstructive pulmonary disease overlap syndrome	1	17	0.05882352941
amitryptiline	Asthma exercise induced	2	83	0.02409638554
amitryptiline	Asthma late onset	2	5	0.4
amitryptiline	Asthmatic crisis	5	60	0.08333333333
amitryptiline	Astigmatism	43	74	0.5810810811
amitryptiline	Ataxia	48	606	0.07920792079
amitryptiline	Atelectasis	49	238	0.2058823529
amitryptiline	Atonic seizures	2	32	0.0625
amitryptiline	Atonic urinary bladder	1	6	0.1666666667
amitryptiline	Atrial fibrillation	243	3425	0.07094890511
amitryptiline	Atrial flutter	17	244	0.06967213115
amitryptiline	Atrial septal defect	52	1778	0.02924634421
amitryptiline	Atrial tachycardia	12	63	0.1904761905
amitryptiline	Atrial thrombosis	3	20	0.15
amitryptiline	Atrioventricular block	32	315	0.1015873016
amitryptiline	Atrioventricular block complete	39	283	0.1378091873
amitryptiline	Atrioventricular block first degree	30	341	0.08797653959
amitryptiline	Atrioventricular block second degree	10	161	0.06211180124
amitryptiline	Atrophic vulvovaginitis	2	13	0.1538461538
amitryptiline	Atrophy	2	40	0.05
amitryptiline	Attention deficit hyperactivity disorder	1	104	0.009615384615
amitryptiline	Attention deficit/hyperactivity disorder	7	390	0.01794871795
amitryptiline	Atypical femur fracture	19	90	0.2111111111
amitryptiline	Atypical fracture	5	14	0.3571428571
amitryptiline	Atypical pneumonia	10	169	0.05917159763
amitryptiline	Auditory disorder	1	49	0.02040816327
amitryptiline	Aura	5	85	0.05882352941
amitryptiline	Aural polyp	2	6	0.3333333333
amitryptiline	Auricular swelling	1	3	0.3333333333
amitryptiline	Autism	1	96	0.01041666667
amitryptiline	Autism spectrum disorder	2	254	0.007874015748
amitryptiline	Autoimmune arthritis	2	8	0.25
amitryptiline	Autoimmune colitis	1	23	0.04347826087
amitryptiline	Autoimmune disorder	26	351	0.07407407407
amitryptiline	Autoimmune enteropathy	1	1	1
amitryptiline	Autoimmune haemolytic anaemia	3	153	0.01960784314
amitryptiline	Autoimmune hepatitis	32	252	0.126984127
amitryptiline	Autoimmune myositis	1	12	0.08333333333
amitryptiline	Autoimmune neutropenia	2	3	0.6666666667
