cid	atc	pert_iname	pert_id	pert_count	cell_id_count	inst_id	rna_plate	rna_well	pert_type	pert_dose	pert_dose_unit	pert_time	pert_time_unit	cell_id	cell_type	base_cell_id	precursor_cell_id	modification	sample_type	primary_site	subtype	original_growth_pattern	provider_catalog_id	original_source_vendor	donor_age	donor_sex	donor_ethnicity
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:O16	BRAF001_A375_6H_X2	O16	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:O23	BRAF001_A375_6H_X2	O23	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:O24	BRAF001_A375_6H_X2	O24	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:P07	BRAF001_A375_6H_X2	P07	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:P08	BRAF001_A375_6H_X2	P08	trt_cp	0.15625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:P15	BRAF001_A375_6H_X2	P15	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:P16	BRAF001_A375_6H_X2	P16	trt_cp	0.15625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X2_B10:P23	BRAF001_A375_6H_X2	P23	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:O07	BRAF001_A375_6H_X3	O07	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:O08	BRAF001_A375_6H_X3	O08	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:O15	BRAF001_A375_6H_X3	O15	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:O16	BRAF001_A375_6H_X3	O16	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:O23	BRAF001_A375_6H_X3	O23	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:O24	BRAF001_A375_6H_X3	O24	trt_cp	2.5	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:P07	BRAF001_A375_6H_X3	P07	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:P08	BRAF001_A375_6H_X3	P08	trt_cp	0.15625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:P15	BRAF001_A375_6H_X3	P15	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:P16	BRAF001_A375_6H_X3	P16	trt_cp	0.15625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:P23	BRAF001_A375_6H_X3	P23	trt_cp	0.625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_6H_X3_B10:P24	BRAF001_A375_6H_X3	P24	trt_cp	0.15625	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:O07	BRAF001_A375_24H_X1	O07	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:O08	BRAF001_A375_24H_X1	O08	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:O15	BRAF001_A375_24H_X1	O15	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:O16	BRAF001_A375_24H_X1	O16	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:O23	BRAF001_A375_24H_X1	O23	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:O24	BRAF001_A375_24H_X1	O24	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:P07	BRAF001_A375_24H_X1	P07	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:P08	BRAF001_A375_24H_X1	P08	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:P15	BRAF001_A375_24H_X1	P15	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:P16	BRAF001_A375_24H_X1	P16	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:P23	BRAF001_A375_24H_X1	P23	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X1_B10:P24	BRAF001_A375_24H_X1	P24	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:O07	BRAF001_A375_24H_X2	O07	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:O08	BRAF001_A375_24H_X2	O08	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:O15	BRAF001_A375_24H_X2	O15	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:O16	BRAF001_A375_24H_X2	O16	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:O23	BRAF001_A375_24H_X2	O23	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:O24	BRAF001_A375_24H_X2	O24	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:P08	BRAF001_A375_24H_X2	P08	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:P15	BRAF001_A375_24H_X2	P15	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:P16	BRAF001_A375_24H_X2	P16	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X2_B10:P23	BRAF001_A375_24H_X2	P23	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:O07	BRAF001_A375_24H_X4	O07	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:O08	BRAF001_A375_24H_X4	O08	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:O15	BRAF001_A375_24H_X4	O15	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:O16	BRAF001_A375_24H_X4	O16	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:O23	BRAF001_A375_24H_X4	O23	trt_cp	10.0	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:O24	BRAF001_A375_24H_X4	O24	trt_cp	2.5	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:P07	BRAF001_A375_24H_X4	P07	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:P08	BRAF001_A375_24H_X4	P08	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:P15	BRAF001_A375_24H_X4	P15	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:P16	BRAF001_A375_24H_X4	P16	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:P23	BRAF001_A375_24H_X4	P23	trt_cp	0.625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	14	BRAF001_A375_24H_X4_B11:P24	BRAF001_A375_24H_X4	P24	trt_cp	0.15625	um	24	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC004_A375_6H_X1_B3_DUO52HI53LO:E01	CPC004_A375_6H_X1	E01	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC004_A375_6H_X2_B3_DUO52HI53LO:E01	CPC004_A375_6H_X2	E01	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC004_A375_6H_X3_B3_DUO52HI53LO:E01	CPC004_A375_6H_X3	E01	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC017_A375_6H_X4_F1B5_DUO52HI53LO:K18	CPC017_A375_6H_X4	K18	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X1_B4_DUO52HI53LO:F24	CPC020_A375_6H_X1	F24	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X1_B4_DUO52HI53LO:H08	CPC020_A375_6H_X1	H08	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X2_B4_DUO52HI53LO:F24	CPC020_A375_6H_X2	F24	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X2_B4_DUO52HI53LO:H08	CPC020_A375_6H_X2	H08	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X3_B4_DUO52HI53LO:F24	CPC020_A375_6H_X3	F24	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X3_B4_DUO52HI53LO:H08	CPC020_A375_6H_X3	H08	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X4_B5_DUO52HI53LO:F24	CPC020_A375_6H_X4	F24	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	13	CPC020_A375_6H_X4_B5_DUO52HI53LO:H08	CPC020_A375_6H_X4	H08	trt_cp	10.0	um	6	h	A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
