cid	atc	pert_iname	pert_id	pert_count	cell_id_count	inst_id	cell_id	det_plate	det_well	pert_mfc_id	pert_dose	pert_dose_unit	pert_type	pert_time	pert_time_unit	cell_type	base_cell_id	precursor_cell_id	modification	sample_type	primary_site	subtype	original_growth_pattern	provider_catalog_id	original_source_vendor	donor_age	donor_sex	donor_ethnicity
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X3_B24:F01	A375	REP.A011_A375_24H_X3_B24	F01	BRD-A05186015-003-19-8	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X3_B24:F02	A375	REP.A011_A375_24H_X3_B24	F02	BRD-A05186015-003-19-8	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X3_B24:F03	A375	REP.A011_A375_24H_X3_B24	F03	BRD-A05186015-003-19-8	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X3_B24:F04	A375	REP.A011_A375_24H_X3_B24	F04	BRD-A05186015-003-19-8	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X3_B24:F05	A375	REP.A011_A375_24H_X3_B24	F05	BRD-A05186015-003-19-8	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100000444	N06AX12	bupropion	BRD-A05186015	1	7	REP.A011_A375_24H_X3_B24:F06	A375	REP.A011_A375_24H_X3_B24	F06	BRD-A05186015-003-19-8	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X1_B22:L01	A375	REP.A007_A375_24H_X1_B22	L01	BRD-K53737926-003-27-8	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X1_B22:L02	A375	REP.A007_A375_24H_X1_B22	L02	BRD-K53737926-003-27-8	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X1_B22:L03	A375	REP.A007_A375_24H_X1_B22	L03	BRD-K53737926-003-27-8	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X1_B22:L04	A375	REP.A007_A375_24H_X1_B22	L04	BRD-K53737926-003-27-8	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X1_B22:L05	A375	REP.A007_A375_24H_X1_B22	L05	BRD-K53737926-003-27-8	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X1_B22:L06	A375	REP.A007_A375_24H_X1_B22	L06	BRD-K53737926-003-27-8	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X2_B22:L01	A375	REP.A007_A375_24H_X2_B22	L01	BRD-K53737926-003-27-8	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X2_B22:L02	A375	REP.A007_A375_24H_X2_B22	L02	BRD-K53737926-003-27-8	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X2_B22:L03	A375	REP.A007_A375_24H_X2_B22	L03	BRD-K53737926-003-27-8	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X2_B22:L04	A375	REP.A007_A375_24H_X2_B22	L04	BRD-K53737926-003-27-8	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X2_B22:L05	A375	REP.A007_A375_24H_X2_B22	L05	BRD-K53737926-003-27-8	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X2_B22:L06	A375	REP.A007_A375_24H_X2_B22	L06	BRD-K53737926-003-27-8	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X3_B22:L01	A375	REP.A007_A375_24H_X3_B22	L01	BRD-K53737926-003-27-8	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X3_B22:L02	A375	REP.A007_A375_24H_X3_B22	L02	BRD-K53737926-003-27-8	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X3_B22:L03	A375	REP.A007_A375_24H_X3_B22	L03	BRD-K53737926-003-27-8	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X3_B22:L04	A375	REP.A007_A375_24H_X3_B22	L04	BRD-K53737926-003-27-8	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X3_B22:L05	A375	REP.A007_A375_24H_X3_B22	L05	BRD-K53737926-003-27-8	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002160	N06AA09	amitriptyline	BRD-K53737926	1	7	REP.A007_A375_24H_X3_B22:L06	A375	REP.A007_A375_24H_X3_B22	L06	BRD-K53737926-003-27-8	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X1_B24:I13	A375	REP.A012_A375_24H_X1_B24	I13	BRD-K02265150-001-26-5	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X1_B24:I14	A375	REP.A012_A375_24H_X1_B24	I14	BRD-K02265150-001-26-5	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X1_B24:I15	A375	REP.A012_A375_24H_X1_B24	I15	BRD-K02265150-001-26-5	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X1_B24:I16	A375	REP.A012_A375_24H_X1_B24	I16	BRD-K02265150-001-26-5	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X1_B24:I17	A375	REP.A012_A375_24H_X1_B24	I17	BRD-K02265150-001-26-5	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X1_B24:I18	A375	REP.A012_A375_24H_X1_B24	I18	BRD-K02265150-001-26-5	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X2_B22:I13	A375	REP.A012_A375_24H_X2_B22	I13	BRD-K02265150-001-26-5	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X2_B22:I14	A375	REP.A012_A375_24H_X2_B22	I14	BRD-K02265150-001-26-5	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X2_B22:I15	A375	REP.A012_A375_24H_X2_B22	I15	BRD-K02265150-001-26-5	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X2_B22:I16	A375	REP.A012_A375_24H_X2_B22	I16	BRD-K02265150-001-26-5	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X2_B22:I17	A375	REP.A012_A375_24H_X2_B22	I17	BRD-K02265150-001-26-5	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X2_B22:I18	A375	REP.A012_A375_24H_X2_B22	I18	BRD-K02265150-001-26-5	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X3_B22:I13	A375	REP.A012_A375_24H_X3_B22	I13	BRD-K02265150-001-26-5	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X3_B22:I14	A375	REP.A012_A375_24H_X3_B22	I14	BRD-K02265150-001-26-5	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X3_B22:I15	A375	REP.A012_A375_24H_X3_B22	I15	BRD-K02265150-001-26-5	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X3_B22:I16	A375	REP.A012_A375_24H_X3_B22	I16	BRD-K02265150-001-26-5	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X3_B22:I17	A375	REP.A012_A375_24H_X3_B22	I17	BRD-K02265150-001-26-5	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002170	N06AA17	amoxapine	BRD-K02265150	1	7	REP.A012_A375_24H_X3_B22:I18	A375	REP.A012_A375_24H_X3_B22	I18	BRD-K02265150-001-26-5	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C13	A375	REP.A017_A375_24H_X1_B23	C13	BRD-A47598013-004-16-0	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C14	A375	REP.A017_A375_24H_X1_B23	C14	BRD-A47598013-004-16-0	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C15	A375	REP.A017_A375_24H_X1_B23	C15	BRD-A47598013-004-16-0	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C16	A375	REP.A017_A375_24H_X1_B23	C16	BRD-A47598013-004-16-0	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C17	A375	REP.A017_A375_24H_X1_B23	C17	BRD-A47598013-004-16-0	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C18	A375	REP.A017_A375_24H_X1_B23	C18	BRD-A47598013-004-16-0	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C13	A375	REP.A017_A375_24H_X2_B23	C13	BRD-A47598013-004-16-0	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C14	A375	REP.A017_A375_24H_X2_B23	C14	BRD-A47598013-004-16-0	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C15	A375	REP.A017_A375_24H_X2_B23	C15	BRD-A47598013-004-16-0	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C16	A375	REP.A017_A375_24H_X2_B23	C16	BRD-A47598013-004-16-0	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C17	A375	REP.A017_A375_24H_X2_B23	C17	BRD-A47598013-004-16-0	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C18	A375	REP.A017_A375_24H_X2_B23	C18	BRD-A47598013-004-16-0	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X3_B23:C14	A375	REP.A017_A375_24H_X3_B23	C14	BRD-A47598013-004-16-0	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X3_B23:C15	A375	REP.A017_A375_24H_X3_B23	C15	BRD-A47598013-004-16-0	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X3_B23:C16	A375	REP.A017_A375_24H_X3_B23	C16	BRD-A47598013-004-16-0	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X3_B23:C17	A375	REP.A017_A375_24H_X3_B23	C17	BRD-A47598013-004-16-0	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB04	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X3_B23:C18	A375	REP.A017_A375_24H_X3_B23	C18	BRD-A47598013-004-16-0	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C13	A375	REP.A017_A375_24H_X1_B23	C13	BRD-A47598013-004-16-0	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C14	A375	REP.A017_A375_24H_X1_B23	C14	BRD-A47598013-004-16-0	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C15	A375	REP.A017_A375_24H_X1_B23	C15	BRD-A47598013-004-16-0	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C16	A375	REP.A017_A375_24H_X1_B23	C16	BRD-A47598013-004-16-0	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C17	A375	REP.A017_A375_24H_X1_B23	C17	BRD-A47598013-004-16-0	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X1_B23:C18	A375	REP.A017_A375_24H_X1_B23	C18	BRD-A47598013-004-16-0	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C13	A375	REP.A017_A375_24H_X2_B23	C13	BRD-A47598013-004-16-0	10.0	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C14	A375	REP.A017_A375_24H_X2_B23	C14	BRD-A47598013-004-16-0	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C15	A375	REP.A017_A375_24H_X2_B23	C15	BRD-A47598013-004-16-0	1.11111	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C16	A375	REP.A017_A375_24H_X2_B23	C16	BRD-A47598013-004-16-0	0.37037	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C17	A375	REP.A017_A375_24H_X2_B23	C17	BRD-A47598013-004-16-0	0.123457	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X2_B23:C18	A375	REP.A017_A375_24H_X2_B23	C18	BRD-A47598013-004-16-0	0.0411523	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
CID100002771	N06AB10	citalopram	BRD-A47598013	1	7	REP.A017_A375_24H_X3_B23:C14	A375	REP.A017_A375_24H_X3_B23	C14	BRD-A47598013-004-16-0	3.33333	um	trt_cp	24.0	h	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
